03-18 17:37:59 - INFO - models loaded
03-18 17:45:27 - INFO - prediction of 2022-01-01 done, outcomes saved
03-18 17:48:53 - INFO - prediction of 2022-01-02 done, outcomes saved
03-18 17:52:07 - INFO - prediction of 2022-01-03 done, outcomes saved
03-18 17:55:12 - INFO - prediction of 2022-01-04 done, outcomes saved
03-18 17:58:01 - INFO - prediction of 2022-01-05 done, outcomes saved
03-18 18:00:53 - INFO - prediction of 2022-01-06 done, outcomes saved
03-18 18:04:02 - INFO - prediction of 2022-01-07 done, outcomes saved
03-18 18:07:12 - INFO - prediction of 2022-01-08 done, outcomes saved
03-18 18:10:31 - INFO - prediction of 2022-01-09 done, outcomes saved
03-18 18:13:40 - INFO - prediction of 2022-01-10 done, outcomes saved
03-18 18:16:41 - INFO - prediction of 2022-01-11 done, outcomes saved
03-18 18:19:51 - INFO - prediction of 2022-01-12 done, outcomes saved
03-18 18:22:41 - INFO - prediction of 2022-01-13 done, outcomes saved
03-18 18:26:16 - INFO - prediction of 2022-01-14 done, outcomes saved
03-18 18:29:29 - INFO - prediction of 2022-01-15 done, outcomes saved
03-18 18:32:38 - INFO - prediction of 2022-01-16 done, outcomes saved
03-18 18:35:41 - INFO - prediction of 2022-01-17 done, outcomes saved
03-18 18:38:22 - INFO - prediction of 2022-01-18 done, outcomes saved
03-18 18:41:14 - INFO - prediction of 2022-01-19 done, outcomes saved
03-18 18:44:57 - INFO - prediction of 2022-01-20 done, outcomes saved
03-18 18:47:56 - INFO - prediction of 2022-01-21 done, outcomes saved
03-18 18:51:26 - INFO - prediction of 2022-01-22 done, outcomes saved
03-18 18:55:28 - INFO - prediction of 2022-01-23 done, outcomes saved
03-18 18:59:06 - INFO - prediction of 2022-01-24 done, outcomes saved
03-18 19:02:11 - INFO - prediction of 2022-01-25 done, outcomes saved
03-18 19:05:23 - INFO - prediction of 2022-01-26 done, outcomes saved
03-18 19:08:34 - INFO - prediction of 2022-01-27 done, outcomes saved
03-18 19:12:22 - INFO - prediction of 2022-01-28 done, outcomes saved
03-18 19:16:11 - INFO - prediction of 2022-01-29 done, outcomes saved
03-18 19:20:09 - INFO - prediction of 2022-01-30 done, outcomes saved
03-18 19:24:41 - INFO - prediction of 2022-01-31 done, outcomes saved
03-18 19:35:53 - INFO - prediction of 2022-02-01 done, outcomes saved
03-18 19:41:05 - INFO - prediction of 2022-02-02 done, outcomes saved
03-18 19:47:06 - INFO - prediction of 2022-02-03 done, outcomes saved
03-18 19:52:32 - INFO - prediction of 2022-02-04 done, outcomes saved
03-18 19:57:29 - INFO - prediction of 2022-02-05 done, outcomes saved
03-18 20:02:20 - INFO - prediction of 2022-02-06 done, outcomes saved
03-18 20:07:54 - INFO - prediction of 2022-02-07 done, outcomes saved
03-18 20:12:49 - INFO - prediction of 2022-02-08 done, outcomes saved
03-18 20:18:04 - INFO - prediction of 2022-02-09 done, outcomes saved
03-18 20:25:16 - INFO - prediction of 2022-02-10 done, outcomes saved
03-18 20:32:25 - INFO - prediction of 2022-02-11 done, outcomes saved
03-18 20:39:35 - INFO - prediction of 2022-02-12 done, outcomes saved
03-18 20:46:43 - INFO - prediction of 2022-02-13 done, outcomes saved
03-18 20:50:47 - INFO - prediction of 2022-02-14 done, outcomes saved
03-18 20:53:43 - INFO - prediction of 2022-02-15 done, outcomes saved
03-18 20:56:28 - INFO - prediction of 2022-02-16 done, outcomes saved
03-18 20:58:58 - INFO - prediction of 2022-02-17 done, outcomes saved
03-18 21:01:25 - INFO - prediction of 2022-02-18 done, outcomes saved
03-18 21:03:50 - INFO - prediction of 2022-02-19 done, outcomes saved
03-18 21:06:14 - INFO - prediction of 2022-02-20 done, outcomes saved
03-18 21:08:39 - INFO - prediction of 2022-02-21 done, outcomes saved
03-18 21:11:07 - INFO - prediction of 2022-02-22 done, outcomes saved
03-18 21:13:32 - INFO - prediction of 2022-02-23 done, outcomes saved
03-18 21:16:06 - INFO - prediction of 2022-02-24 done, outcomes saved
03-18 21:18:52 - INFO - prediction of 2022-02-25 done, outcomes saved
03-18 21:21:37 - INFO - prediction of 2022-02-26 done, outcomes saved
03-18 21:24:43 - INFO - prediction of 2022-02-27 done, outcomes saved
03-18 21:28:35 - INFO - prediction of 2022-02-28 done, outcomes saved
03-18 21:35:29 - INFO - prediction of 2022-03-01 done, outcomes saved
03-18 21:38:59 - INFO - prediction of 2022-03-02 done, outcomes saved
03-18 21:42:31 - INFO - prediction of 2022-03-03 done, outcomes saved
03-18 21:46:02 - INFO - prediction of 2022-03-04 done, outcomes saved
03-18 21:49:10 - INFO - prediction of 2022-03-05 done, outcomes saved
03-18 21:52:18 - INFO - prediction of 2022-03-06 done, outcomes saved
03-18 21:55:29 - INFO - prediction of 2022-03-07 done, outcomes saved
03-18 21:58:22 - INFO - prediction of 2022-03-08 done, outcomes saved
03-18 22:01:33 - INFO - prediction of 2022-03-09 done, outcomes saved
03-18 22:05:01 - INFO - prediction of 2022-03-10 done, outcomes saved
03-18 22:08:07 - INFO - prediction of 2022-03-11 done, outcomes saved
03-18 22:11:22 - INFO - prediction of 2022-03-12 done, outcomes saved
03-18 22:14:27 - INFO - prediction of 2022-03-13 done, outcomes saved
03-18 22:17:32 - INFO - prediction of 2022-03-14 done, outcomes saved
03-18 22:20:43 - INFO - prediction of 2022-03-15 done, outcomes saved
03-18 22:23:28 - INFO - prediction of 2022-03-16 done, outcomes saved
03-18 22:26:15 - INFO - prediction of 2022-03-17 done, outcomes saved
03-18 22:28:56 - INFO - prediction of 2022-03-18 done, outcomes saved
03-18 22:31:55 - INFO - prediction of 2022-03-19 done, outcomes saved
03-18 22:34:33 - INFO - prediction of 2022-03-20 done, outcomes saved
03-18 22:37:04 - INFO - prediction of 2022-03-21 done, outcomes saved
